,SalesAgentEmailID,ContactEmailID,sentiment_scores,Product,year_month,Close_Value
0,16,6,3.3875,5,2016-01-01,3180
1,6,66,3.783251231527093,4,2016-01-01,4359
2,19,71,4.297297297297297,2,2016-02-01,1070
3,8,27,3.0416666666666665,2,2016-02-01,1164
4,22,47,4.225225225225225,1,2016-03-01,493
5,14,23,3.985074626865672,2,2016-03-01,1059
6,15,30,4.544378698224851,4,2016-03-01,5149
7,21,59,4.96875,6,2016-04-01,48
8,26,27,3.2098765432098766,6,2016-04-01,54
9,25,42,3.515625,6,2016-04-01,57
10,10,18,4.375,6,2016-04-01,57
11,4,0,3.391304347826087,1,2016-04-01,513
12,13,9,4.401869158878505,1,2016-04-01,519
13,16,31,4.044776119402985,1,2016-04-01,559
14,9,47,4.138888888888889,2,2016-04-01,1233
15,28,73,3.282608695652174,5,2016-04-01,3012
16,0,4,4.118012422360248,6,2016-05-01,58
17,21,21,3.5866666666666664,1,2016-05-01,546
18,15,39,3.5042016806722684,1,2016-05-01,559
19,10,72,2.476923076923077,1,2016-05-01,571
20,15,51,4.065693430656935,2,2016-05-01,988
21,4,17,4.148387096774194,2,2016-05-01,1255
22,6,66,3.783251231527093,5,2016-05-01,3563
23,16,32,3.8191489361702127,1,2016-06-01,560
24,15,27,3.532934131736527,1,2016-06-01,576
25,18,38,4.164179104477612,2,2016-06-01,1162
26,11,30,4.018518518518518,2,2016-06-01,1315
27,0,79,3.9732142857142856,5,2016-06-01,3647
28,6,24,4.264516129032258,3,2016-06-01,4278
29,19,2,3.5555555555555562,3,2016-06-01,4631
30,4,56,3.6835443037974684,3,2016-06-01,5790
31,24,46,4.7368421052631575,6,2016-07-01,48
32,25,24,3.2616822429906542,6,2016-07-01,50
33,20,40,3.3421052631578947,6,2016-07-01,50
34,8,63,3.526315789473684,6,2016-07-01,58
35,25,31,4.433734939759036,6,2016-07-01,60
36,27,48,3.6987951807228914,6,2016-07-01,65
37,14,55,3.4791666666666665,1,2016-07-01,441
38,2,50,4.211111111111111,1,2016-07-01,549
39,16,13,3.4642857142857144,1,2016-07-01,559
40,20,15,4.333333333333333,1,2016-07-01,589
41,4,17,4.148387096774194,1,2016-07-01,590
42,12,8,3.8645833333333335,1,2016-07-01,601
43,11,45,3.0597014925373136,2,2016-07-01,926
44,11,39,3.3653846153846154,2,2016-07-01,1040
45,10,9,3.352,5,2016-07-01,3440
46,27,84,4.294117647058823,5,2016-07-01,3558
47,26,17,4.244541484716157,5,2016-07-01,3671
48,3,4,3.773333333333333,5,2016-07-01,3956
49,5,58,3.297872340425532,4,2016-07-01,4799
50,24,25,3.575757575757576,4,2016-07-01,4829
51,29,34,4.0972222222222205,3,2016-07-01,5370
52,17,44,3.8651685393258433,3,2016-07-01,5410
53,25,37,4.622448979591836,6,2016-08-01,51
54,21,40,3.7875,1,2016-08-01,487
55,14,68,3.62992125984252,1,2016-08-01,598
56,6,38,3.532934131736527,2,2016-08-01,1161
57,3,9,3.673684210526316,5,2016-08-01,2955
58,1,60,2.7358490566037736,4,2016-08-01,4704
59,6,9,3.8839590443686007,3,2016-08-01,4711
60,2,56,3.613861386138614,3,2016-08-01,5425
61,0,6,4.304347826086956,3,2016-08-01,5765
62,29,75,4.40566037735849,3,2016-08-01,6499
63,6,21,3.443243243243243,6,2016-09-01,50
64,13,13,4.074380165289257,6,2016-09-01,51
65,15,68,4.3419354838709685,6,2016-09-01,51
66,11,44,4.319148936170213,6,2016-09-01,53
67,27,78,4.670731707317073,6,2016-09-01,55
68,26,57,3.982300884955752,6,2016-09-01,55
69,25,5,4.527777777777779,6,2016-09-01,61
70,17,23,2.988095238095238,6,2016-09-01,64
71,25,15,3.977011494252874,6,2016-09-01,67
72,9,17,4.380281690140845,1,2016-09-01,469
73,9,78,1.8947368421052635,1,2016-09-01,510
74,23,17,2.7142857142857144,1,2016-09-01,538
75,17,44,3.8651685393258433,1,2016-09-01,576
76,17,63,4.068627450980392,1,2016-09-01,601
77,7,64,4.020408163265306,1,2016-09-01,605
78,16,37,4.227941176470588,1,2016-09-01,609
79,23,45,2.8536585365853657,1,2016-09-01,635
80,19,75,3.45679012345679,2,2016-09-01,979
81,21,31,4.978260869565218,2,2016-09-01,1026
82,4,47,4.779220779220778,2,2016-09-01,1034
83,15,75,2.980392156862745,2,2016-09-01,1046
84,20,21,3.6075949367088618,2,2016-09-01,1054
85,28,28,3.305084745762712,5,2016-09-01,3045
86,0,9,4.115151515151515,5,2016-09-01,3246
87,6,37,4.065359477124183,5,2016-09-01,3269
88,4,43,4.0886075949367084,5,2016-09-01,3351
89,6,69,4.183783783783784,5,2016-09-01,3358
90,7,56,4.483516483516484,5,2016-09-01,3421
91,11,81,3.0285714285714285,5,2016-09-01,3426
92,4,78,3.7794117647058822,5,2016-09-01,3577
93,26,30,4.257731958762887,5,2016-09-01,3803
94,6,33,4.127853881278539,4,2016-09-01,3952
95,4,12,4.323529411764706,4,2016-09-01,4570
96,6,40,3.746987951807229,4,2016-09-01,4891
97,26,30,4.257731958762887,4,2016-09-01,4906
98,26,65,3.96,6,2016-10-01,46
99,8,49,3.617021276595745,6,2016-10-01,46
100,27,56,3.8840579710144927,6,2016-10-01,47
101,25,32,3.5760869565217392,6,2016-10-01,51
102,27,60,2.8095238095238093,6,2016-10-01,54
103,17,16,3.488888888888889,6,2016-10-01,54
104,8,71,3.9479166666666665,6,2016-10-01,65
105,18,69,4.126436781609195,1,2016-10-01,508
106,15,63,4.082758620689655,1,2016-10-01,515
107,13,52,4.549180327868854,1,2016-10-01,543
108,16,37,4.227941176470588,1,2016-10-01,547
109,29,71,4.079545454545454,1,2016-10-01,552
110,14,3,4.8677685950413245,1,2016-10-01,564
111,7,54,3.65,1,2016-10-01,579
112,20,37,4.45045045045045,1,2016-10-01,588
113,0,33,4.5,1,2016-10-01,625
114,16,82,3.6346153846153846,2,2016-10-01,948
115,5,48,3.75,2,2016-10-01,1020
116,11,2,4.129032258064516,2,2016-10-01,1108
117,25,66,3.1733333333333333,5,2016-10-01,2955
118,0,6,4.304347826086956,5,2016-10-01,4148
119,12,2,3.3777777777777778,3,2016-10-01,4667
120,6,52,3.830188679245283,4,2016-10-01,4739
121,26,57,3.982300884955752,4,2016-10-01,4899
122,19,29,3.2222222222222223,4,2016-10-01,4899
123,4,70,3.7196261682242993,3,2016-10-01,5002
124,12,74,4.311827956989247,4,2016-10-01,5040
125,13,79,3.571428571428572,4,2016-10-01,5406
126,12,34,3.72972972972973,4,2016-10-01,5673
127,25,6,4.6879432624113475,6,2016-11-01,43
128,23,3,4.041666666666667,6,2016-11-01,45
129,17,35,3.658536585365853,6,2016-11-01,47
130,6,72,3.6703296703296697,6,2016-11-01,49
131,25,82,3.660550458715597,6,2016-11-01,54
132,23,74,4.545454545454546,6,2016-11-01,56
133,10,21,3.7209302325581404,6,2016-11-01,56
134,22,46,4.195652173913044,6,2016-11-01,57
135,11,22,3.8571428571428568,6,2016-11-01,59
136,25,4,3.6966292134831455,6,2016-11-01,61
137,27,0,4.9344262295081975,6,2016-11-01,64
138,26,17,4.244541484716157,1,2016-11-01,443
139,7,41,3.8411764705882354,1,2016-11-01,462
140,17,65,3.7613636363636362,1,2016-11-01,523
141,20,10,3.1237113402061856,1,2016-11-01,557
142,27,43,4.0381679389312986,1,2016-11-01,564
143,15,30,4.544378698224851,1,2016-11-01,578
144,22,80,3.22,2,2016-11-01,978
145,17,62,3.5865384615384617,2,2016-11-01,1043
146,7,84,2.5526315789473686,2,2016-11-01,1132
147,6,32,4.440789473684211,2,2016-11-01,1170
148,23,27,2.9454545454545453,5,2016-11-01,3284
149,14,3,4.8677685950413245,5,2016-11-01,3295
150,2,67,4.440366972477063,5,2016-11-01,3665
151,2,58,4.034883720930233,5,2016-11-01,4200
152,6,82,3.5726872246696035,4,2016-11-01,4247
153,24,54,4.7407407407407405,4,2016-11-01,4465
154,6,42,3.4007936507936507,4,2016-11-01,4511
155,14,62,4.296296296296297,4,2016-11-01,4839
156,12,51,3.781609195402299,3,2016-11-01,5169
157,4,12,4.323529411764706,3,2016-11-01,5964
158,9,54,6.413793103448278,6,2016-12-01,41
159,25,4,3.6966292134831455,6,2016-12-01,49
160,0,40,3.5483870967741935,6,2016-12-01,49
161,10,15,3.5,6,2016-12-01,51
162,18,82,4.318181818181818,6,2016-12-01,52
163,0,5,3.7777777777777777,6,2016-12-01,53
164,27,7,3.4683544303797467,6,2016-12-01,56
165,26,81,4.683168316831684,6,2016-12-01,57
166,25,26,3.381443298969072,6,2016-12-01,62
167,12,26,4.178571428571429,1,2016-12-01,437
168,27,47,3.0161290322580645,1,2016-12-01,504
169,4,43,4.0886075949367084,1,2016-12-01,513
170,29,75,4.40566037735849,1,2016-12-01,517
171,13,37,3.568807339449541,1,2016-12-01,517
172,12,74,4.311827956989247,1,2016-12-01,537
173,22,11,3.8846153846153846,1,2016-12-01,556
174,19,30,3.6344086021505375,2,2016-12-01,1007
175,21,15,2.851063829787234,2,2016-12-01,1033
176,29,29,4.636363636363637,2,2016-12-01,1049
177,19,30,3.6344086021505375,2,2016-12-01,1185
178,21,72,3.3442622950819683,2,2016-12-01,1212
179,10,52,4.39240506329114,5,2016-12-01,2972
180,7,78,3.321428571428572,5,2016-12-01,3415
181,1,48,4.07,5,2016-12-01,3677
182,26,30,4.257731958762887,4,2016-12-01,3742
